date,actual,forecast_lasso,forecast_ridge,forecast_rf
2018-01-01,-0.0124943312769305,-0.00915341739836726,-0.00876267148156265,-0.008603723911212037
2018-02-01,0.0087414526928339,0.006575895085516445,0.008038803659812637,0.010406537470004055
2018-03-01,0.0074901157877089,0.008146485691921876,0.01031708866984378,0.003121171952869934
2018-04-01,-0.0075440390305683,-0.008914322782624466,-0.009038643161752584,-0.0034328766123778603
2018-05-01,0.0055329515510109,0.006175972959462976,0.008669574832650045,0.010859523934852757
2018-06-01,0.0057114755994698,0.0014246133747275627,0.0023156658713971642,0.0009241823143593402
2018-07-01,-0.0020145878723791,-0.0034735774996186384,-0.0036408317418259433,-0.007069321578531974
2018-08-01,0.0141521277154801,0.0055220562794509945,0.008808169289207045,0.010669551799483168
2018-09-01,-0.0036136520325307,-0.0024283111412821646,-0.0015533795560667449,-0.0019777000928174883
2018-10-01,0.0013275384781934,0.0005243837371161444,0.0006517589141120015,0.006818494461380899
2018-11-01,0.0027548882456613,0.004966914750218791,0.004975809310902562,0.004216871410442654
2018-12-01,-0.0027840540933787,-0.0034288297765197287,-0.004934760906163219,-0.0021403500849852294
2019-01-01,0.0061165637347571,0.0035000045449020867,0.0038470065452120006,0.008830355277131979
2019-02-01,0.0088337024199125,0.003232212323762663,0.003919443914770568,0.0013278361837780848
2019-03-01,-0.0125651487233113,-0.0029122344666993338,-0.001915175065983652,-0.00336860947816344
2019-04-01,0.013449225426684,0.010505164248446074,0.012008907397782913,0.01157482978364202
2019-05-01,0.0097194763736547,0.0047925815127237755,0.005057698157764298,0.0015634824751866352
2019-06-01,-0.0109296249362662,-0.007315672323084645,-0.006852718262995248,-0.0017275830928622218
2019-07-01,0.0149947970943555,0.006745170415207835,0.006704880656471714,0.008534869227469221
2019-08-01,-0.0006072600360500502,0.00047969461641571634,0.002386732984046779,0.0004920769161555976
2019-09-01,-0.0082185855654079,0.0013598778506743391,0.002008379266432118,0.0020010096356879443
2019-10-01,0.0092898694866976,0.009469461492262715,0.00899643628907685,0.011196155438744025
2019-11-01,-0.0043971822118678,-0.002367767364328417,-0.005414247300408149,-0.0008596499105832467
2019-12-01,0.003716141704718,0.004516737840793808,0.0035840922573974632,0.009688748029351187
2020-01-01,0.0100236977667043,0.00844286806147549,0.009220552115207606,0.003187929051313902
2020-02-01,0.0011517309123849,-0.002787491194353506,-0.0028608386411022747,-0.006312151192498287
2020-03-01,-0.1032746968695441,-0.030179214053766924,-0.030962838857964407,-0.0024772630330959842
2020-04-01,-0.1481066235899462,-0.1485535856147389,-0.16806726486074994,-0.00918903101652172
2020-05-01,0.0456129950233981,0.11072844523453204,0.09689520012710733,0.0008651954802658981
2020-06-01,0.0492663837050653,0.04983224411184356,0.016618914083623898,-0.00045905084631164703
2020-07-01,0.0345659524743338,0.02713089151179385,0.026566473232420246,0.008451873815218254
2020-08-01,0.0038063875404272,0.025949287227679845,0.03479029393262097,-0.003062371915682134
2020-09-01,0.0349156214548926,0.01995078101447445,0.014087779807135974,0.018928955186376745
2020-10-01,0.0245214011775862,0.011297885201384297,0.009564370888830012,0.009926107423059091
2020-11-01,0.0070503578810932,0.010259258002759595,0.017469902693145155,0.0016324404557273022
2020-12-01,0.0189822004402255,0.008523286263372709,0.02520081479812324,0.0031680599016443234
