date,ise_sa,ise_ldiff,ip_ldiff,retail_ldiff,unemp_diff,fx_ldiff,interest_diff,m1_ldiff,credit_diff
2012-02-01,87.66864638425457,0.00202555475610655,0.00355133136685381,NA,0.17752662137590036,-0.03248996767034651,0.25,NA,-1.0199999999999996
2012-03-01,88.38743183182987,0.00816546010328256,0.02512367745323818,NA,-0.4545494758173998,-0.00914228157242735,0.25,NA,-0.10999999999999945
2012-04-01,87.71835406865176,-0.00759862578147085,-0.04704069557788681,NA,0.6741222261100006,0.00373015447074731,0,NA,0.28999999999999915
2012-05-01,88.47552006341071,0.00859474439105767,0.02815216309166146,NA,0.02399940767420005,0.0094228652515671,0,NA,-0.240000000000002
2012-06-01,88.5138285877361,4.3289073851671134e-4,0.02390953182795385,NA,-0.3084767778883002,7.35666605422125e-4,0,NA,-0.23999999999999844
2012-07-01,88.00299388378346,-0.00578795972984202,-0.01385623549825698,NA,0.23330640279839976,-0.00396402552612595,0,NA,0.5700000000000003
2012-08-01,86.77968450151712,-0.0139982905553726,-0.01074491528151178,NA,-0.5602340587130996,0.01180575991945076,-0.25,NA,-0.1700000000000017
2012-09-01,88.55342437320324,0.0202334903645065,0.01137286934838677,NA,0.4112468150473987,-0.0024349239261916,-0.25,-0.00355408114826172,-0.509999999999998
2012-10-01,88.67996885032532,0.00142799837349372,-0.0193457350839159,NA,-0.33596311776319965,0.00206535043895961,0,0.02589130957407714,-0.120000000000001
2012-11-01,89.33488572917425,0.00735803576839266,-0.01366568815691948,NA,0.5112669825480012,0.00819199139964599,0,0.04089647252970252,-0.3999999999999986
2012-12-01,89.18343427995988,-0.00169676126844908,0.01281314785712783,NA,-0.2324599239583005,-0.01471188295377512,-0.25,0.1122510784069224,-0.1999999999999993
2013-01-01,91.31861687065984,0.02365936759521147,-0.00358020341948872,NA,-0.5156815525864005,-0.01330665770440742,-0.25,-0.08986309822055194,0.9499999999999992
