date,actual,forecast_dfm_augmented,model
2018-01-01,-0.00719213146636388,0.002706841278167204,DFM_augmented
2018-02-01,0.00539737676326534,0.0018157618933060185,DFM_augmented
2018-03-01,0.00695117492396235,0.001865145256084567,DFM_augmented
2018-04-01,-0.00915178117213244,0.0022819239720777824,DFM_augmented
2018-05-01,0.00746837751822493,0.0025633920056066825,DFM_augmented
2018-06-01,-0.00253702811417078,0.0026778078014936943,DFM_augmented
2018-07-01,0.00344917311344605,0.002845057233889415,DFM_augmented
2018-08-01,0.00305806775517947,0.0025283122834488525,DFM_augmented
2018-09-01,9.923572365364564e-4,0.0025224750479759493,DFM_augmented
2018-10-01,-0.00130556886769728,0.0028606314406369885,DFM_augmented
2018-11-01,-0.00520222588980612,0.0027299458797924747,DFM_augmented
2018-12-01,-0.00380015272038836,0.002028673460101105,DFM_augmented
2019-01-01,0.00470743756541303,0.0021103919125125587,DFM_augmented
2019-02-01,0.00396413739680134,0.0026168138136338083,DFM_augmented
2019-03-01,-0.01307371111600819,0.002364479341411442,DFM_augmented
2019-04-01,0.00443977284926777,0.0022940108412007145,DFM_augmented
2019-05-01,-0.00409888975251782,0.002287673842732403,DFM_augmented
2019-06-01,0.00502655327649037,0.0021825541727927386,DFM_augmented
2019-07-01,-0.00215964821316472,0.0019762837305021238,DFM_augmented
2019-08-01,0.00106703178163325,0.0019686632361383483,DFM_augmented
2019-09-01,0.00425760974684052,0.0019553872148240815,DFM_augmented
2019-10-01,-0.01026368137315447,0.001978613741069178,DFM_augmented
2019-11-01,0.00200897214089845,0.0022228970693896582,DFM_augmented
2019-12-01,-0.00189639824442799,0.002096628714783976,DFM_augmented
2020-01-01,0.00840306502770982,0.002120754697266365,DFM_augmented
2020-02-01,-0.00746474308761602,0.0023391403823604016,DFM_augmented
2020-03-01,-0.03618370253400815,0.0021093548081636123,DFM_augmented
2020-04-01,-0.20856456248209376,0.0036117322181736158,DFM_augmented
2020-05-01,-0.01917362363726305,0.01510747745515932,DFM_augmented
2020-06-01,0.11195857078783256,0.015197627159207985,DFM_augmented
2020-07-01,0.04981643100847766,0.01435259551087229,DFM_augmented
2020-08-01,0.02891748645603797,0.013898492728723892,DFM_augmented
2020-09-01,0.02638871039719514,0.013242700926800294,DFM_augmented
2020-10-01,0.01068275708141985,0.013186103063405258,DFM_augmented
2020-11-01,0.00767340786011061,0.013006420346379414,DFM_augmented
2020-12-01,-0.00316368777190412,0.01305670328586005,DFM_augmented
2021-01-01,4.458613143096812e-4,0.01324381499276789,DFM_augmented
2021-02-01,-0.00271539018434108,0.013100919649808968,DFM_augmented
2021-03-01,0.01584036668016697,0.013003378557227815,DFM_augmented
2021-04-01,-0.00168921257545395,0.012823951095575378,DFM_augmented
2021-05-01,2.754449590183228e-4,0.0126091207052631,DFM_augmented
2021-06-01,-0.00170033301939032,0.012812703972437204,DFM_augmented
2021-07-01,-0.00272667994964237,0.012748679789845164,DFM_augmented
2021-08-01,-0.0082038035595513,0.012912757287799862,DFM_augmented
2021-09-01,-0.00209664056478864,0.013058288671147715,DFM_augmented
2021-10-01,0.00673449885854182,0.012875628645876647,DFM_augmented
2021-11-01,0.00624932410562717,0.013039478511220089,DFM_augmented
2021-12-01,0.00552516388146973,0.012170989606466068,DFM_augmented
2022-01-01,0.00640399618030773,0.01199914286409283,DFM_augmented
2022-02-01,0.00442463193682574,0.010987712120913254,DFM_augmented
2022-03-01,0.00419703780073721,0.010956396934421332,DFM_augmented
2022-04-01,0.00622688244482905,0.009698371736248084,DFM_augmented
2022-05-01,7.212194150714168e-4,0.00929757277343531,DFM_augmented
2022-06-01,-0.00285964152783169,0.00919594440068088,DFM_augmented
2022-07-01,0.00680988827810402,0.009007068044505752,DFM_augmented
2022-08-01,0.00379327536756601,0.008515708924306222,DFM_augmented
2022-09-01,0.00162616975214646,0.008074860813475618,DFM_augmented
2022-10-01,0.00406362243576108,0.007998779874388833,DFM_augmented
2022-11-01,0.00527506554500512,0.007809013020721881,DFM_augmented
2022-12-01,0.00720575290839153,0.007462738926589728,DFM_augmented
2023-01-01,0.00145550314422227,0.007277817609330623,DFM_augmented
2023-02-01,-0.00493265441367363,0.007112455741806588,DFM_augmented
2023-03-01,-0.00327099377772821,0.007489373262353202,DFM_augmented
2023-04-01,0.00907060687502348,0.00743946326658137,DFM_augmented
2023-05-01,0.00275829990978593,0.008286903697543794,DFM_augmented
2023-06-01,0.00440662518009649,0.008257429215678269,DFM_augmented
2023-07-01,0.00235604821670776,0.008784981225380887,DFM_augmented
2023-08-01,0.0016454226798066,0.009233164007815596,DFM_augmented
2023-09-01,0.0083034743218997,0.009610186582983689,DFM_augmented
2023-10-01,8.943303127573188e-5,0.010171677858196566,DFM_augmented
2023-11-01,-0.00728763964130774,0.010311205313245007,DFM_augmented
2023-12-01,0.00117294190813233,0.010662993748266687,DFM_augmented
2024-01-01,0.0024175379183573,0.010930203239634104,DFM_augmented
2024-02-01,0.00345105449629112,0.011127618616402159,DFM_augmented
2024-03-01,0.00215439211996137,0.011314793800248212,DFM_augmented
2024-04-01,-0.01323425559922597,0.011508313952854118,DFM_augmented
2024-05-01,0.01027369898289176,0.011952430326755786,DFM_augmented
2024-06-01,9.228918409425192e-4,0.012051361434264753,DFM_augmented
2024-07-01,0.0120145865773944,0.01214764362747789,DFM_augmented
2024-08-01,-0.00982034424700195,0.01166000795296478,DFM_augmented
2024-09-01,0.00252618778037838,0.01198209771994708,DFM_augmented
