date,actual,forecast_midas,model
2018-01-01,-0.00719213146636388,0.0021164964504395314,MIDAS
2018-02-01,0.00539737676326534,5.209867587111207e-4,MIDAS
2018-03-01,0.00695117492396235,0.0011813904419055803,MIDAS
2018-04-01,-0.00915178117213244,0.002060180641437628,MIDAS
2018-05-01,0.00746837751822493,4.561088969999765e-4,MIDAS
2018-06-01,-0.00253702811417078,0.002617020686389012,MIDAS
2018-07-01,0.00344917311344605,0.0015148487839971526,MIDAS
2018-08-01,0.00305806775517947,0.0018099243739707245,MIDAS
2018-09-01,9.923572365364564e-4,0.0013271857230976404,MIDAS
2018-10-01,-0.00130556886769728,4.68660856162842e-4,MIDAS
2018-11-01,-0.00520222588980612,0.0014896363125254345,MIDAS
2018-12-01,-0.00380015272038836,0.0010396424129028637,MIDAS
2019-01-01,0.00470743756541303,0.0011465415019291391,MIDAS
2019-02-01,0.00396413739680134,7.89299431175415e-4,MIDAS
2019-03-01,-0.01307371111600819,5.722691351405975e-4,MIDAS
2019-04-01,0.00443977284926777,-3.310787985562335e-4,MIDAS
2019-05-01,-0.00409888975251782,3.0088321685818413e-4,MIDAS
2019-06-01,0.00502655327649037,5.651946768195342e-4,MIDAS
2019-07-01,-0.00215964821316472,8.512958138677245e-4,MIDAS
2019-08-01,0.00106703178163325,7.273750237003928e-4,MIDAS
2019-09-01,0.00425760974684052,7.596112997174528e-4,MIDAS
2019-10-01,-0.01026368137315447,7.534662044061371e-4,MIDAS
2019-11-01,0.00200897214089845,2.3275203105602366e-4,MIDAS
2019-12-01,-0.00189639824442799,5.190720069141884e-4,MIDAS
2020-01-01,0.00840306502770982,9.826916558954896e-4,MIDAS
2020-02-01,-0.00746474308761602,5.636236126588922e-4,MIDAS
2020-03-01,-0.03618370253400815,3.6680783211572225e-5,MIDAS
2020-04-01,-0.20856456248209376,-0.004135016231925965,MIDAS
2020-05-01,-0.01917362363726305,-0.024267343112611063,MIDAS
2020-06-01,0.11195857078783256,-0.0019829475256110773,MIDAS
2020-07-01,0.04981643100847766,3.945212949745791e-4,MIDAS
2020-08-01,0.02891748645603797,7.324723220122242e-4,MIDAS
2020-09-01,0.02638871039719514,6.80316498908948e-4,MIDAS
2020-10-01,0.01068275708141985,6.672725103630509e-4,MIDAS
2020-11-01,0.00767340786011061,-5.755669331808462e-4,MIDAS
2020-12-01,-0.00316368777190412,5.960421845410844e-4,MIDAS
2021-01-01,4.458613143096812e-4,0.001157999274331976,MIDAS
2021-02-01,-0.00271539018434108,1.750700410466512e-4,MIDAS
2021-03-01,0.01584036668016697,9.334863598514893e-4,MIDAS
2021-04-01,-0.00168921257545395,1.27253640010772e-4,MIDAS
2021-05-01,2.754449590183228e-4,2.0215259108235704e-4,MIDAS
2021-06-01,-0.00170033301939032,4.248964912644405e-4,MIDAS
2021-07-01,-0.00272667994964237,0.00152377029376859,MIDAS
2021-08-01,-0.0082038035595513,3.2125844648352457e-4,MIDAS
2021-09-01,-0.00209664056478864,3.3160609296007217e-4,MIDAS
2021-10-01,0.00673449885854182,0.0020039252011913805,MIDAS
2021-11-01,0.00624932410562717,-2.425220563201944e-4,MIDAS
2021-12-01,0.00552516388146973,1.238046062330664e-4,MIDAS
2022-01-01,0.00640399618030773,-8.548185330553652e-4,MIDAS
2022-02-01,0.00442463193682574,-0.004484473784666802,MIDAS
2022-03-01,0.00419703780073721,-5.332037823494718e-4,MIDAS
2022-04-01,0.00622688244482905,-0.0017576627703758015,MIDAS
2022-05-01,7.212194150714168e-4,-0.002509168421539719,MIDAS
2022-06-01,-0.00285964152783169,-0.0012533066888269521,MIDAS
2022-07-01,0.00680988827810402,-0.001333961070493935,MIDAS
2022-08-01,0.00379327536756601,6.145634286084565e-5,MIDAS
2022-09-01,0.00162616975214646,-0.0012461554113641035,MIDAS
2022-10-01,0.00406362243576108,-0.0014127912720589585,MIDAS
2022-11-01,0.00527506554500512,-5.231219761576682e-4,MIDAS
2022-12-01,0.00720575290839153,0.0012143285844223926,MIDAS
2023-01-01,0.00145550314422227,-6.316871692237584e-4,MIDAS
2023-02-01,-0.00493265441367363,6.1135714844836e-4,MIDAS
2023-03-01,-0.00327099377772821,-0.001556737437882025,MIDAS
2023-04-01,0.00907060687502348,6.602907205328975e-4,MIDAS
2023-05-01,0.00275829990978593,-0.0027365503346643877,MIDAS
2023-06-01,0.00440662518009649,0.0018767731781006588,MIDAS
2023-07-01,0.00235604821670776,-5.277527186098002e-4,MIDAS
2023-08-01,0.0016454226798066,-5.8494363272121944e-5,MIDAS
2023-09-01,0.0083034743218997,-7.026151283586721e-4,MIDAS
2023-10-01,8.943303127573188e-5,9.787041150547799e-4,MIDAS
2023-11-01,-0.00728763964130774,1.729334076536808e-4,MIDAS
2023-12-01,0.00117294190813233,-2.0272215634909417e-4,MIDAS
2024-01-01,0.0024175379183573,9.999230407542645e-4,MIDAS
2024-02-01,0.00345105449629112,7.688196634414188e-4,MIDAS
2024-03-01,0.00215439211996137,-5.330124238916705e-4,MIDAS
2024-04-01,-0.01323425559922597,0.001859571844832507,MIDAS
2024-05-01,0.01027369898289176,8.832384719252166e-6,MIDAS
2024-06-01,9.228918409425192e-4,-8.511166353358985e-4,MIDAS
2024-07-01,0.0120145865773944,0.0018713291737686804,MIDAS
2024-08-01,-0.00982034424700195,-0.0045509477603248236,MIDAS
2024-09-01,0.00252618778037838,9.700015394867123e-4,MIDAS
