Model,Full (2018-2024),Pre-COVID (2018-19),COVID (2020-21),Post-COVID (2022-24)
AR(4),0.0527,0.006,0.0964,0.0067
DFM Benchmark,0.028,0.0056,0.0507,0.0054
DFM Augmented,0.0283,0.0062,0.0505,0.0094
LASSO,0.0145,0.0047,0.0202,0.0143
Ridge,0.0182,0.0047,0.0197,0.0228
Random Forest,0.0286,0.0043,0.0503,0.0123
