model,n_forecasts,RMSE,MAE,MAPE
LASSO,81,0.014537,0.008999,224.4708
Ridge,81,0.018235,0.011245,370.5979
DFM Benchmark,81,0.027988,0.010038,169.8896
DFM Augmented,81,0.028321,0.01227,441.1512
Random Forest,81,0.028569,0.01169,257.1193
AR(4),81,0.052734,0.018147,230.0914
