date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2022-06-01,13,48,20,30,36,3
2022-06-02,12,45,18,28,34,3
2022-06-03,9,40,9,30,41,4
2022-06-04,14,41,12,31,40,3
2022-06-05,15,41,16,36,38,4
2022-06-06,9,43,12,31,36,4
2022-06-07,8,42,13,35,37,5
2022-06-08,10,38,16,27,33,3
2022-06-09,8,37,14,25,32,4
2022-06-10,14,44,18,31,40,3
2022-06-11,13,39,13,31,39,3
2022-06-12,12,36,15,33,37,4
2022-06-13,7,38,10,29,33,5
2022-06-14,9,41,15,32,35,5
2022-06-15,16,45,20,29,31,3
2022-06-16,19,52,24,28,29,3
2022-06-17,29,65,18,31,32,3
2022-06-18,14,49,13,33,37,3
2022-06-19,27,64,47,50,38,2
2022-06-20,-3,26,8,-20,-53,18
2022-06-21,14,49,21,34,27,4
2022-06-22,16,43,22,31,22,4
2022-06-23,13,40,19,27,20,5
2022-06-24,16,45,17,33,25,5
2022-06-25,19,48,25,41,35,1
2022-06-26,24,40,32,38,37,1
2022-06-27,0,24,17,-15,-54,15
2022-06-28,14,45,20,38,21,4
2022-06-29,17,44,21,32,19,4
2022-06-30,23,54,26,32,18,4
2022-07-01,27,64,30,38,24,3
2022-07-02,29,62,41,47,33,0
2022-07-03,32,51,53,58,34,-1
2022-07-04,8,36,28,-12,-54,13
2022-07-05,23,61,32,40,24,3
2022-07-06,22,53,29,34,22,3
2022-07-07,21,51,28,30,22,3
2022-07-08,17,46,19,31,29,4
2022-07-09,24,50,27,42,40,1
2022-07-10,21,44,26,47,40,2
2022-07-11,13,44,14,35,28,5
2022-07-12,17,48,23,38,33,4
2022-07-13,16,42,23,34,29,3
2022-07-14,16,43,24,32,28,4
2022-07-15,20,48,24,32,37,4
2022-07-16,27,55,34,47,42,1
2022-07-17,22,48,28,49,40,2
2022-07-18,18,53,25,38,34,6
2022-07-19,25,54,32,43,35,5
2022-07-20,9,34,29,-7,-44,16
2022-07-21,14,46,25,34,32,4
2022-07-22,17,47,23,35,40,4
2022-07-23,17,44,21,36,42,3
2022-07-24,14,37,20,39,39,5
2022-07-25,13,46,16,39,36,5
2022-07-26,15,47,20,45,39,4
2022-07-27,15,40,17,40,34,4
2022-07-28,18,46,22,39,33,4
2022-07-29,25,56,27,42,42,3
2022-07-30,30,60,31,51,46,1
2022-07-31,28,59,31,56,45,2
2022-08-01,21,58,21,48,37,4
2022-08-02,19,55,20,51,38,4
2022-08-03,21,53,27,45,35,3
2022-08-04,22,53,28,44,35,3
2022-08-05,21,52,21,46,42,3
2022-08-06,25,54,23,49,42,2
2022-08-07,22,49,31,49,42,3
2022-08-08,20,53,24,51,38,3
2022-08-09,17,49,23,53,41,3
2022-08-10,17,44,24,50,37,2
2022-08-11,21,49,31,49,37,2
2022-08-12,22,52,27,54,44,1
2022-08-13,23,50,31,57,40,0
2022-08-14,27,46,45,57,38,2
2022-08-15,10,39,33,0,-51,14
2022-08-16,21,59,29,64,41,4
2022-08-17,22,54,32,56,39,5
2022-08-18,22,53,31,52,39,5
2022-08-19,22,53,29,53,47,5
2022-08-20,22,49,24,51,47,5
2022-08-21,21,47,31,53,45,5
2022-08-22,17,50,20,53,40,7
2022-08-23,19,52,27,57,44,6
2022-08-24,17,45,27,51,40,5
2022-08-25,20,49,29,48,39,5
2022-08-26,21,50,25,49,48,5
2022-08-27,23,53,28,51,47,4
2022-08-28,20,48,30,52,45,4
2022-08-29,15,49,18,49,42,5
2022-08-30,21,57,27,56,47,4
2022-08-31,21,53,24,50,41,2
2022-09-01,23,57,27,51,40,2
2022-09-02,25,59,26,53,48,2
2022-09-03,25,55,24,52,45,1
2022-09-04,27,57,29,58,44,2
2022-09-05,22,58,24,53,42,2
2022-09-06,21,57,27,55,47,2
2022-09-07,20,49,27,50,43,2
2022-09-08,20,49,27,49,42,2
2022-09-09,22,52,25,48,50,2
2022-09-10,24,51,25,51,46,1
2022-09-11,24,50,32,54,45,2
2022-09-12,14,44,15,50,45,3
2022-09-13,16,48,20,53,48,3
2022-09-14,17,44,23,47,42,2
2022-09-15,25,57,30,50,41,1
2022-09-16,25,56,23,51,48,1
2022-09-17,34,62,34,57,46,0
2022-09-18,23,49,25,56,40,2
2022-09-19,15,48,16,52,42,3
2022-09-20,17,51,22,54,46,3
2022-09-21,16,43,20,49,40,2
2022-09-22,7,37,14,34,27,7
2022-09-23,20,49,19,54,48,2
2022-09-24,22,50,21,52,44,1
2022-09-25,22,49,28,58,41,2
2022-09-26,19,53,22,49,44,3
2022-09-27,19,53,25,54,47,3
2022-09-28,17,45,19,47,42,2
2022-09-29,21,52,23,47,41,2
2022-09-30,27,59,21,52,49,1
2022-10-01,33,69,30,58,46,0
2022-10-02,32,66,35,63,44,1
2022-10-03,25,64,25,55,45,2
2022-10-04,21,57,23,55,48,3
2022-10-05,20,50,21,49,42,2
2022-10-06,19,48,20,48,43,2
2022-10-07,21,50,18,49,48,2
2022-10-08,24,52,21,52,45,1
2022-10-09,21,46,24,55,40,2
2022-10-10,22,53,23,48,32,3
2022-10-11,23,51,25,49,34,3
2022-10-12,19,41,22,42,28,3
2022-10-13,20,43,24,43,27,3
2022-10-14,25,53,27,49,33,2
2022-10-15,28,57,35,55,39,-1
