date,ise_sa,ise_ldiff,ip_sa,ip_ldiff,retail_sa,retail_ldiff,unemp_sa,unemp_diff,fx_avg,fx_ldiff,interest_rate,interest_diff,m1,m1_ldiff,credit_rate,credit_diff
2012-01-01,87.49124846586155,NA,90.9496493824858,NA,NA,NA,10.502073340682,NA,1842.6505555555555,NA,4.75,NA,NA,NA,20.41,NA
2012-02-01,87.66864638425457,0.0020255547561065512,91.2732159310917,0.003551331366853816,NA,NA,10.6795999620579,0.17752662137590036,1783.745,-0.03248996767034651,5,0.25,NA,NA,19.39,-1.0199999999999996
2012-03-01,88.38743183182987,0.008165460103282562,93.5953833158896,0.02512367745323818,NA,NA,10.2250504862405,-0.4545494758173998,1767.5118181818182,-0.009142281572427358,5.25,0.25,NA,NA,19.28,-0.10999999999999943
2012-04-01,87.71835406865176,-0.007598625781470858,89.2945417274099,-0.047040695577886815,NA,NA,10.8991727123505,0.6741222261100006,1774.1172222222222,0.0037301544707473155,5.25,0,NA,NA,19.57,0.28999999999999915
2012-05-01,88.47552006341071,0.008594744391057674,91.8440955731834,0.028152163091661464,NA,NA,10.9231721200247,0.023999407674200057,1790.9134999999999,0.009422865251567103,5.25,0,NA,NA,19.33,-0.240000000000002
2012-06-01,88.5138285877361,4.3289073851671134e-4,94.0665074410989,0.023909531827953856,NA,NA,10.6146953421364,-0.3084767778883002,1792.2315,7.35666605422125e-4,5.25,0,NA,NA,19.09,-0.23999999999999844
2012-07-01,88.00299388378346,-0.005787959729842029,92.7720883594389,-0.013856235498256986,NA,NA,10.8480017449348,0.23330640279839976,1785.141111111111,-0.003964025526125958,5.25,0,NA,NA,19.66,0.5700000000000003
2012-08-01,86.77968450151712,-0.013998290555372606,91.7805964172137,-0.01074491528151178,NA,NA,10.2877676862217,-0.5602340587130996,1806.3409523809523,0.011805759919450765,5,-0.25,61.447,NA,19.49,-0.1700000000000017
2012-09-01,88.55342437320324,0.0202334903645065,92.8303632646836,0.011372869348386772,NA,NA,10.6990145012691,0.4112468150473987,1801.948,-0.002434923926191601,4.75,-0.25,61.229,-0.003554081148261723,18.98,-0.509999999999998
2012-10-01,88.67996885032532,0.0014279983734937218,91.05175139744,-0.019345735083915905,NA,NA,10.3630513835059,-0.33596311776319965,1805.6735,0.0020653504389596122,4.75,0,62.835,0.025891309574077148,18.86,-0.120000000000001
