Model,Full (2018-2024),Pre-COVID (2018-19),COVID (2020-21),Post-COVID (2022-24)
AR(4),1,1,1,1
DFM Benchmark,0.692,1.667,0.661,1.099
DFM Augmented,0.69,1.627,0.648,1.246
LASSO,0.421,0.863,0.369,1.049
Ridge,0.409,0.863,0.36,1
Random Forest,0.62,1.039,0.594,1.042
