Model,Full (2018-2024),Pre-COVID (2018-19),COVID (2020-21),Post-COVID (2022-24)
AR(4),0.0416,0.0051,0.0705,0.0142
DFM Benchmark,0.0288,0.0085,0.0466,0.0156
DFM Augmented,0.0287,0.0083,0.0457,0.0177
LASSO,0.0175,0.0044,0.026,0.0149
Ridge,0.017,0.0044,0.0254,0.0142
Random Forest,0.0258,0.0053,0.0419,0.0148
